,Station Names,Station Codes,Latitude,Longitude,Pincode
238,ANANTAPUR,ATP,14.6819° N,77.6006° E,515004
239,ANANTARAJUPET,ANE,14.0000° N,79.3024° E,516105
240,ANANTNAG,ANT,33.7311° N,75.1487° E,192124
241,ANAPARTI,APT,16.9347° N,81.9551° E,533342
242,ANARA,ANR,23.4882° N,86.5609° E,723126
243,ANAS,ANAS,22.8656° N,74.4215° E,389154
244,ANAVARDIKHANPET,AVN,13.0508° N,79.5673° E,632502
245,ANAWAL,ANW,20.8393° N,73.2643° E,396510
246,ANCHELI,ACL,20.8447° N,72.9453° E,396472
247,ANDAL JN,UDL,,,713321
248,ANDAMPALIAM,AND,,,606804
249,ANDANAPPETTAI,APE,,,611106
250,ANDHERI,ADH,19.1136° N,72.8697° E,400053
251,ANDIPATTI,ADPT,10.0015° N,77.6164° E,625512
252,ANDUL,ADL,22.5943° N,88.2438° E,711302
253,ANEKAL ROAD,AEK,,,562107
254,ANGADI,AGCI,9.3995° N,76.7740° E,0
255,ANGADIPPURAM,AAM,10.9773° N,76.2014° E,679321
256,ANGAI,AGE,26.6035° N,77.4716° E,328031
257,ANGALAKUDURU,AKU,16.2393° N,80.6119° E,522211
258,ANGAMALI,AFK,10.1926° N,76.3869° E,683572
259,ANGAR,AAG,17.8988° N,75.5772° E,848236
260,ANGAR GHAT,ARG,25.7976° N,85.9023° E,848236
261,ANGUL,ANGL,20.8444° N,85.1511° E,759143
262,ANIPUR,APU,24.6637° N,93.9063° E,788734
263,ANJANGAON,ANJ,21.1671° N,77.3152° E,444705
264,ANJANI,ANO,20.1726° N,76.6478° E,415709
265,ANJAR,AJE,23.1167° N,70.0281° E,370110
266,ANJHI SHAHABAD,AJI,27.6447° N,79.9741° E,241124
267,ANK MMR DIRECT,ANKX,,,0
268,ANKAI,ANK,20.1845° N,74.4548° E,208020
269,ANKAI KILA,AAK,20.1879° N,74.4431° E,423104
270,ANKLAV,ALV,22.3775° N,72.9992° E,388510
271,ANKLESHWAR JN,AKV,,,393001
272,ANKOLA,ANKL,14.6653° N,74.3001° E,0
273,ANKORAH AKORHA,ANH,,,824101
274,ANKSAPUR,AKSP,18.8132° N,78.3913° E,503311
275,ANKUSPUR,AKS,25.5710° N,83.4941° E,233001
276,ANNA NAGAR,ANNG,13.0850° N,80.2101° E,600040
277,ANNAVARAM,ANV,17.2789° N,82.4013° E,533408
278,ANNECHAKANAHALI,ANC,12.7408° N,76.2780° E,573211
279,ANNIGERI,NGR,15.4273° N,75.4316° E,582201
280,ANPARA,ANPR,24.2049° N,82.7832° E,231225
281,ANTAH,ATH,25.1579° N,76.3116° E,325202
282,ANTRI,ARI,26.0602° N,78.2099° E,475001
283,ANTROLI,ANL,21.1850° N,72.9282° E,394150
284,ANTU,ANTU,26.0565° N,81.9044° E,230501
