Train Number,Train Name,Arrival Delays,Departure Delays
96106,KJT CSTM LOCAL,$ $2 min$2 min$2 min$2 min$2 min$3 min,$1 min$2 min$2 min$2 min$2 min$2 min$ 
96110,KJT TNA LOCAL,$ $3 min$3 min$3 min$4 min$4 min$10 min,$3 min$4 min$3 min$3 min$4 min$4 min$ 
96001,KJT KHPI LOCAL,$ $4 min,$3 min$ 
96005,KJT KHPI LOCAL,$ $5 min,$1 min$ 
96007,KJT KHPI LOCAL,$ $1 min,$0$ 
96009,KJT KHPI LOCAL,$ $0,$0$ 
96011,KJT KHPI LOCAL,,
96013,KJT KHPI LOCAL,$ $5 min,$3 min$ 
96015,KJT KHPI LOCAL,$ $8 min,$5 min$ 
51317,KJT PUNE PASS,,
96108,KJT TNA LOCAL,$ $6 min$5 min$5 min$5 min$7 min$13 min,$6 min$6 min$5 min$5 min$5 min$7 min$ 
52955,AE JND PASS M G,$ ,$ 
74014,KKDE DLI DMU,$ $47 min$37 min$35 min$33 min$33 min$34 min$34 min$31 min$13 min$14 min$14 min$19 min$16 min$16 min$16 min$17 min$23 min$22 min$23 min$20 min$21 min$26 min$23 min$36 min$34 min$55 min$1 hrs,$40 min$41 min$38 min$35 min$33 min$33 min$36 min$34 min$11 min$14 min$14 min$14 min$19 min$16 min$19 min$17 min$19 min$24 min$23 min$24 min$21 min$25 min$27 min$27 min$39 min$34 min$1:13 hrs$ 
64452,KKDE DLI MEMU,$ $3 min$3 min$4 min$4 min$8 min$7 min$8 min$9 min$9 min$10 min$13 min$18 min$20 min$23 min$23 min$24 min$23 min$26 min$29 min$35 min$36 min$50 min$32 min,$2 min$3 min$3 min$4 min$5 min$8 min$8 min$8 min$9 min$9 min$10 min$16 min$18 min$22 min$23 min$23 min$23 min$23 min$27 min$36 min$38 min$37 min$51 min$ 
64454,KKDE DLI MEMU,$ $10 min$10 min$16 min$17 min$26 min$25 min$28 min$24 min$29 min$17 min$21 min$22 min$25 min$31 min$35 min$41 min$5 min$40 min$44 min$51 min$53 min$41 min$21 min$22 min,$6 min$9 min$14 min$16 min$23 min$26 min$28 min$28 min$8 min$29 min$21 min$21 min$24 min$30 min$35 min$40 min$40 min$5 min$43 min$47 min$52 min$57 min$43 min$25 min$ 
54047,KKDE JIND FAST PASS,$ $29 min$38 min$48 min$45 min$46 min$49 min$38 min$36 min,$15 min$33 min$43 min$48 min$45 min$41 min$49 min$38 min$ 
54037,KKDE JIND PASS,$ $46 min$47 min$1:02 hrs$36 min$36 min$37 min$29 min$31 min,$43 min$46 min$54 min$56 min$38 min$36 min$37 min$29 min$ 
54039,KKDE JIND PASS,$ $25 min$32 min$34 min$19 min$19 min$21 min$24 min$32 min,$11 min$30 min$33 min$34 min$21 min$21 min$21 min$24 min$ 
54041,KKDE JIND PASS,$ $14 min$14 min$12 min$13 min$14 min$14 min$15 min$0,$2 min$15 min$23 min$12 min$15 min$13 min$18 min$23 min$ 
64462,KKDE NZM MEMU,$ $3 min$3 min$4 min$7 min$8 min$9 min$10 min$12 min$11 min$12 min$15 min$20 min$21 min$22 min$23 min$22 min$22 min$24 min$26 min$26 min$26 min$25 min$26 min$32 min$16 min,$0$3 min$3 min$6 min$7 min$8 min$9 min$10 min$12 min$11 min$15 min$19 min$20 min$21 min$22 min$23 min$22 min$22 min$24 min$26 min$26 min$27 min$27 min$26 min$31 min$ 
74993,KKDE UMB DEMU,$ $16 min$16 min$17 min$20 min$22 min$13 min,$11 min$16 min$17 min$19 min$20 min$22 min$ 
64545,KKDE UMB MEMU,$ $13 min$16 min$20 min$31 min$33 min$1:24 hrs,$12 min$16 min$20 min$31 min$31 min$33 min$ 
64547,KKDE UMB MEMU,$ $26 min$26 min$33 min$41 min$43 min$20 min,$23 min$26 min$33 min$40 min$42 min$43 min$ 
64483,KKDE UMB MEMU,$ ,$ 
76830,KKDI TPJ DMU,$ $2 min$5 min$0$6 min$7 min$9 min$0,$0$2 min$5 min$6 min$6 min$7 min$9 min$ 
76840,KKDI TPJ MEMU,$ $1 min$3 min$4 min$8 min$15 min$14 min$0,$0$1 min$3 min$5 min$13 min$16 min$14 min$ 
76837,KKDI VPT MEMU,$ $5 min$9 min$11 min$12 min$7 min$21 min$32 min$34 min$0,$2 min$5 min$9 min$12 min$15 min$18 min$29 min$32 min$35 min$ 
74981,KKP FKA DMU,$ $2 min$3 min$2 min$0,$0$12 min$3 min$3 min$ 
74983,KKP FKA DMU,$ $6 min$4 min$5 min$0,$0$6 min$4 min$5 min$ 
