Station Names,Station Codes,Latitude,Longitude
B L DASPURI,BBLK,27.3163° N,79.3630° E
B.G.NAGAR,BGNR,12.9634° N,76.7249° E
BABA BAKALARAYA,BBKR,null,null
BABA SODHALNAGR,BBSL,null,null
BABAGANJ,BBJ,27.9659° N,81.5638° E
BABARPUR,BBDE,28.6849° N,77.2824° E
BABATPUR,BTP,25.4507° N,82.8560° E
BABHNAN,BV,26.9332° N,82.5023° E
BABHULGOAN,BBV,18.3797° N,76.6319° E
BABINA,BAB,25.2444° N,78.4638° E
BABLAD,BBD,17.4945° N,76.8548° E
BABRALA,BBA,28.2637° N,78.4037° E
BABUGARH,BBO,28.7238° N,77.8496° E
BABUPETH,BUPH,19.9390° N,79.3156° E
BABUPUR,BBPR,28.5090° N,76.9974° E
BACHAR,BCHR,21.9581° N,73.1689° E
BACHELI,BCHL,18.6695° N,81.2684° E
BACHHRAWAN,BCN,26.4710° N,81.1127° E
BACHWARA JN,BCA,null,null
BAD,BAD,27.4158° N,77.6708° E
BADABANDHA,BDBA,20.2829° N,86.5136° E
BADALPUR,BDPA,28.5983° N,77.5146° E
BADAMI,BDM,15.9186° N,75.6761° E
BADAMPAHAR,BMPR,22.0880° N,86.1116° E
BADAMPUDI,BPY,16.8259° N,81.4740° E
BADANAGUPPE,BDGP,11.9832° N,76.8779° E
BADARPUR JN,BPB,null,null
BADARWAS,BDWS,24.9769° N,77.5645° E
BADAUSA,BUS,25.2447° N,80.6521° E
BADDOWAL,BWZ,30.8608° N,75.7447° E
BADE ARAPUR,BDXX,19.0104° N,81.8808° E
BADHADA,BDHA,21.2682° N,71.3364° E
BADHAI BALAMGRH,BDBG,null,null
BADHAL,BDHL,27.2562° N,75.4402° E
BADHARI KALAN,BHK,27.7927° N,78.7278° E
BADHWA BARA,BDWA,23.2947° N,81.2868° E
BADKULLA,BDZ,23.3018° N,88.5303° E
BADLA GHAT,BHB,25.5534° N,86.5867° E
BADLAPUR,BUD,19.1668° N,73.2368° E
BADLI,BHD,28.7324° N,77.1442° E
BADMAL,BUDM,20.3747° N,83.2881° E
BADNAPUR,BDU,19.8682° N,75.7256° E
BADNERA JN,BD,null,null
BADODAR,BDDR,21.3455° N,70.2820° E
BADSHAHNAGAR,BNZ,26.8693° N,80.9610° E
BADSHAHPUR,BSE,28.3983° N,77.0536° E
BADULIPAR,BLPR,26.6424° N,93.8795° E
BADWASI,BWS,27.8923° N,75.3427° E
BAGAHA,BUG,27.1222° N,84.0722° E
BAGAHABISHUNPUR,BCJ,24.8228° N,84.2133° E
BAGAHAI ROAD,BGHI,null,null
BAGALIA,BGA,23.4421° N,86.5274° E
BAGALKOT,BGK,16.1691° N,75.6615° E
BAGBAHRA,BGBR,21.0595° N,82.3723° E
BAGDIHI,BEH,21.9512° N,84.1864° E
BAGESHAPURA,BGPA,13.1506° N,76.2298° E
BAGEVADI RD,BSRX,16.4801° N,75.8283° E
BAGEWADI,BGWD,16.5681° N,75.9754° E
BAGHA JATIN,BGJT,22.4839° N,88.3754° E
BAGHAULI,BGH,27.2211° N,80.2962° E
BAGHDOGRA,BORA,26.6986° N,88.3117° E
BAGHI BARDIHA,BBE,24.9268° N,85.6409° E
BAGHI GHAUSPUR,BFX,25.0504° N,85.6823° E
BAGHNAPARA,BGRA,23.2444° N,88.3061° E
BAGHORA,BJQ,24.1271° N,78.2789° E
BAGHUAPAL,BGPL,21.0442° N,86.0147° E
BAGILA,BGF,23.1525° N,88.1304° E
BAGINADI,BGND,27.3606° N,94.1836° E
BAGMAR,BMA,21.7129° N,76.3619° E
BAGNAN,BZN,22.4683° N,87.9707° E
BAGPAT ROAD,BPM,null,null
BAGRA TAWA,BGTA,22.6319° N,77.9945° E
BAGRAKOT,BRQ,26.8958° N,88.5855° E
BAGRI NAGAR,BQN,25.8958° N,73.8070° E
BAGRI SAJJANPUR,BGX,null,null
BAGULA,BGL,23.3349° N,88.6483° E
BAGUMRA,BGMR,21.1435° N,73.0110° E
BAGWADA (HALT),BAGD,null,null
BAGWALI,BWB,30.0126° N,77.2664° E
BAH,HAB,26.8715° N,78.5916° E
BAHADUR SINGH W,BSS,null,null
BAHADURGARH,BGZ,28.6914° N,76.9314° E
BAHADURPUR,BPD,26.1099° N,85.9071° E
BAHAI,BYQ,28.5535° N,77.2588° E
BAHALDA ROAD,BDO,22.4414° N,86.1642° E
BAHANAGA BAZAR,BNBR,21.3359° N,86.7616° E
BAHARU,BARU,22.2040° N,88.4283° E
BAHAWAL BASI,BFE,null,null
BAHELIA BUZURG,BFV,null,null
BAHERI,BHI,28.7780° N,79.4957° E
BAHERIYA ROAD,BOA,null,null
BAHILPURWA,BIP,28.3869° N,78.6172° E
BAHIR KHANDA,BAHW,22.8615° N,88.0730° E
BAHJOI,BJ,28.3869° N,78.6172° E
BAHMAN DIWANA,BWX,30.2206° N,74.8522° E
BAHMINIWALA,BVW,null,null
BAHORA CHANDIL,BHCL,25.3661° N,83.4954° E
BAHRAICH,BRK,27.5705° N,81.5977° E
BAHRAM,BHM,31.2048° N,75.8919° E
BAIDPUR,BPUR,25.0657° N,86.6687° E
BAIDYABATI,BBAE,22.7919° N,88.3310° E
BAIDYANATHDHAM,BDME,24.4892° N,86.6920° E
BAIGUDA,BGUA,18.1365° N,82.1217° E
BAIHATA,BIZ,26.3442° N,91.7198° E
BAIHATOLA,BATL,21.4626° N,80.9014° E
BAIJNATH ANDOLI,VDNP,null,null
BAIJNATH MANDIR,BJMR,null,null
BAIJNATHPAPROLA,BJPL,null,null
BAIJNATHPUR,BYP,25.8896° N,86.6459° E
BAIKUNTH P H,BKTH,null,null
BAIKUNTHPUR RD,BRH,null,null
BAINCHI,BOI,23.1212° N,88.1926° E
BAINCHIGRAM,BCGM,23.1066° N,88.2162° E
BAIRAGNIA,BGU,26.7361° N,85.2774° E
BAIS GODAM,BSGD,26.8971° N,75.7864° E
BAISWARA,BSWA,26.1732° N,80.9689° E
BAITALPUR,BALR,26.5548° N,83.7372° E
BAITARANI ROAD,BTV,20.9871° N,86.2344° E
BAIYYAPPANAHALI,BYPL,12.9903° N,77.6526° E
BAJALTA,BLA,null,null
BAJANA,BAJN,23.1112° N,71.7771° E
BAJEKAN,BJKN,29.5067° N,75.1035° E
