Train Number,Train Name
12916,ASHRAM EXPRESS
12915,ASHRAM EXPRESS
56267,ASK MYS PASS
56265,ASK MYS PASS
56224,ASK SBC PASS
56273,ASK UBL PASS
68062,ASN ADRA MEMU
68064,ASN ADRA MEMU
68066,ASN ADRA MEMU
68068,ASN ADRA MEMU
68070,ASN ADRA MEMU
68060,ASN BBM MEMU
63596,ASN BKSC MEMU
63592,ASN BKSC MEMU
63506,ASN BWN MEMU
63508,ASN BWN MEMU
63510,ASN BWN MEMU
63512,ASN BWN MEMU
63514,ASN BWN MEMU
63516,ASN BWN MEMU
63518,ASN BWN MEMU
63520,ASN BWN MEMU
63522,ASN BWN MEMU
63524,ASN BWN MEMU
63526,ASN BWN MEMU
12361,ASN CSTM EXPRESS
63528,ASN DGR MEMU
63545,ASN DHN MEMU
63551,ASN DHN MEMU
13509,ASN GD EXPRESS
13507,ASN GKP EXPRESS
63541,ASN GMO MEMU
63543,ASN GMO MEMU
13502,ASN HLZ EXP
63567,ASN JAJ MEMU
63561,ASN JSME MEMU
63569,ASN JSME MEMU
63563,ASN JSME MEMU
03511,ASN PNBE SPECIAL
63594,ASN PRR MEMU
63598,ASN RNC MEMU
68055,ASN TATA MEMU
95502,ASO CSTM FAST
95504,ASO CSTM FAST
95506,ASO CSTM FAST
95508,ASO CSTM FAST
95510,ASO CSTM FAST
95512,ASO CSTM FAST
95514,ASO CSTM FAST
95516,ASO CSTM FAST
96502,ASO CSTM LOCAL
96504,ASO CSTM LOCAL
96506,ASO TNA LOCAL
96508,ASO CSTM LOCAL
96510,ASO CSTM LOCAL
96512,ASO CSTM LOCAL
96514,ASO TNA LOCAL
96516,ASO CSTM LOCAL
96518,ASO CSTM LOCAL
19614,ASR AII EXP
19612,ASR AJMER EXP
74661,ASR ATT DMU
74663,ASR ATT DMU
12242,ASR CDG SUP
11058,ASR CSTM  EXP
74651,ASR DBNK DMU
74653,ASR DBNK DMU
74655,ASR DBNK DMU
74657,ASR DBNK DMU
15934,ASR DBRG EXPRESS
14632,ASR DDN EXPRESS
14612,SVDK GCT EXP
54602,ASR HSR PASNGER
74924,MOW HSX DMU
12054,ASR HW JNSHTBDI
13050,ASR HWH EXPRESS
13006,ASR HWH MAIL
19326,ASR INDB EXPRESS
74642,ASR JUC DMU
74644,ASR JUC DMU
12484,ASR KCVL EXPRESS
74682,ASR KEMK DMU
74684,ASR KEMK DMU
74686,ASR KEMK DMU
74688,ASR KEMK DMU
15708,ASR KIR EXPRESS
12358,ASR KOAA SUP EXP
64552,ASR LDH MEMU
14616,ASR LKU EXP
12460,ASR NDLS EXP
12716,ASR NED EXPRESS
12422,ASR NED SF EXP
14505,ASR NLDM EXP
74671,ASR PTK DMU
74673,ASR PTK DMU
74675,ASR PTK DMU
54611,ASR PTK PASS
54613,ASR PTK PASS
54615,ASR PTK  PASS
74691,ASR QDN DMU
15532,ASR SHC JANSADHARAN
74646,JUC UMB DMU
74662,ATT ASR DMU
74664,ATT ASR DMU
14002,ATTARI DLI EXP
12953,AUG KR RAJ EXP
57549,AURANGABAD PSGR
15910,AVADH ASSAM EXP
19038,AVADH EXPRESS
19040,AVADH EXPRESS
19037,AVADH EXPRESS
19039,AVADH EXPRESS
12962,AVANTIKA EXP
12961,AVANTIKA EXP
43841,AVD AJJ LOCAL
43002,AVD MAS LOCAL
66000,AVD MAS LOCAL
43006,AVD MAS LOCAL
43008,AVD MAS LOCAL
66002,AVD MAS LOCAL
66004,AVD MAS LOCAL
43014,AVD MAS LOCAL
43016,AVD MAS LOCAL
43018,AVD MAS LOCAL
43020,AVD MAS LOCAL
43022,AVD MAS LOCAL
66006,AVD MAS LOCAL
43602,AVD MSB LOCAL
43604,AVD MSB LOCAL
43606,AJJ MSB LOCAL
43608,AVD MSB LOCAL
43612,AVD MSB LOCAL
43614,AVD MSB LOCAL
43616,AVD MSB LOCAL
43618,AVD MSB LOCAL
43620,AVD MSB LOCAL
43622,AVD MSB LOCAL
43891,AVD PRES LOCAL
43831,AVD TRL LOCAL
58719,AVP RIM PASS N G
58721,AVP RIM PASS N G
17619,AWB NED EXP
17621,AWB RU EXPRESS
14808,AWR JP EXP
51972,AWR MTJ PASS
55002,AY GKP PASS
54240,AY MUR PASS
54244,AY MUR PASS
53021,AZ BGP PASS
53029,AZ BGP PASS
53433,AZ BHW PASS
53035,AZ BHW PASS
53002,AZ HWH PASS
73032,AZ KWAE DEMU
53006,AZ KWAE PASS
53012,AZ KWAE PASS
53014,AZ KWAE PASS
53016,AZ KWAE PASS
53018,AZ KWAE PASS
53020,AZ KWAE PASS
53436,AZ KWAE PASS
53027,AZ MLDT PASS
73033,AZ NHT PASS
73021,AZ RPH DEMU
53023,AZ RPH PASS
53025,AZ RPH PASS
53031,AZ RPH PASS
12130,AZAD HIND EXP
12129,AZAD HIND EXP
12948,AZIMABAD EXPRESS
12947,AZIMABAD EXPRESS
15666,B G EXPRESS
15665,B  G  EXPRESS
18449,B NATH DHAM EXP
18450,B NATH DHAM EXP
90233,BA BSR LOCAL
90475,BA BSR LOCAL
90003,BA BVI LOCAL
90009,BYR VR LOCAL
90023,BA BVI LOCAL
90051,CCG VR FAST
90077,BA BVI LOCAL
90085,BA BVI LOCAL
90819,BA BVI LOCAL
90915,CCG ADH LOCAL
90119,BA BYR FAST
91027,ADH VR SEMI FAST
90138,VIRAR BVI LOCAL
90172,VIRAR DDR FAST
90202,VR DDR FAST
90238,VR ADH FAST
90264,BVI CCG SEMI FAST
90302,BA CCG LOCAL
90330,BA CCG LOCAL
90360,BA CCG LOCAL
90398,ADH CCG LOCAL
90688,BSR CCG FAST
90822,VR ADH LOCAL
90864,ADH CCG LOCAL
90892,BSR ADH FAST
98800,BA CSTM LOCAL
98802,BA CSTM LOCAL
98804,BA CSTM LOCAL
98806,BA CSTM LOCAL
98808,BA CSTM LOCAL
98810,BA CSTM LOCAL
98812,BA CSTM LOCAL
98814,BA CSTM LOCAL
98816,BA CSTM LOCAL
98818,BA CSTM LOCAL
98820,BA CSTM LOCAL
98822,BA CSTM LOCAL
98824,BA CSTM LOCAL
98826,BA CSTM LOCAL
98828,BA CSTM LOCAL
98830,BA CSTM LOCAL
98832,BA CSTM LOCAL
98834,BA CSTM LOCAL
98836,BA CSTM LOCAL
98838,BA CSTM LOCAL
98840,BA CSTM LOCAL
98842,BA CSTM LOCAL
98844,BA CSTM LOCAL
98846,BA CSTM LOCAL
98848,BA CSTM LOCAL
98850,BA CSTM LOCAL
98852,BA CSTM LOCAL
